temperature_celsius,windspeed_km_h,precipitation_mm,relative_emission in Percont of TAN applied,relative_emission_percentiles,historical_relative_emission_percentiles,total_precipitation_next_48h,total_precipitation_last_24h,runoff_risk,time,windspeed_m_s
14.8838709440459,4.91548776345709,0,0.229268149972479,1,2,0.420376794300137,0,0,2025-05-18T10:00:00Z,1.36541326762697
15.9853768334347,5.34855186451454,0,0.230180660529634,1,2,0.433136647737596,0,0,2025-05-18T11:00:00Z,1.48570885125404
16.8385056166718,6.57472698502517,0,0.230495449625895,1,2,0.502049439426896,0,0,2025-05-18T12:00:00Z,1.82631305139588
17.6932512321944,7.50569890832832,0,0.230002613406334,1,2,0.576310216319518,0,0,2025-05-18T13:00:00Z,2.08491636342453
18.3358672820818,8.64189095506452,0,0.228282872030311,1,2,0.664654568858158,0,0,2025-05-18T14:00:00Z,2.4005252652957
18.6238166407472,9.3807465629302,0,0.225199584434554,0,1,0.77078424975042,0,0,2025-05-18T15:00:00Z,2.60576293414728
18.5808387074558,9.25219015351938,0,0.221165713184368,0,1,0.883544103187878,0,0,2025-05-18T16:00:00Z,2.57005282042205
18.2042664426549,8.31192609893448,0,0.21709124649566,0,1,1.07188845572652,0,0,2025-05-18T17:00:00Z,2.30886836081513
17.1973659542794,7.99510996046605,0,0.213487355115358,0,1,1.33431143015343,0,0,2025-05-18T18:00:00Z,2.22086387790724
15.8486619842321,6.94707393720899,0,0.211284970188314,0,1,1.62263622162084,0,0,2025-05-18T19:00:00Z,1.92974276033583
13.9081909090964,5.6174258775862,0,0.210855515492502,0,2,1.92628087817495,0,0,2025-05-18T20:00:00Z,1.56039607710728
12.3492932684075,5.70537473566385,0,0.211193738146408,0,2,2.22329536218386,0,0,2025-05-18T21:00:00Z,1.58482631546218
11.393109022517,5.58258404620956,0,0.21199627353891,0,2,2.50865419873142,0,0,2025-05-18T22:00:00Z,1.55071779061377
10.8529474662598,5.61279228429761,0,0.213049845680937,0,2,2.78898756036281,0,0,2025-05-18T23:00:00Z,1.55910896786045
10.3573361924199,5.61279228429761,0,0.21433855630683,0,2,3.04490542109538,0,0,2025-05-19T00:00:00Z,1.55910896786045
9.75355818495725,5.61279228429761,0,0.21588328396585,0,2,3.28673970618193,0,0,2025-05-19T01:00:00Z,1.55910896786045
9.22811806336044,5.51374768389987,0,0.217664842507854,0,2,3.47242105301664,0,0,2025-05-19T02:00:00Z,1.53159657886107
8.84987055855532,5.70074114237526,0,0.219606993654061,0,2,3.67086225328881,0,0,2025-05-19T03:00:00Z,1.58353920621535
8.57176978239045,5.58258404620956,0,0.221722716102766,0,2,3.92665505517052,0,0,2025-05-19T04:00:00Z,1.55071779061377
8.4424162432477,5.76957750468496,0,0.223956421171722,0,2,4.18244785705223,0,0,2025-05-19T05:00:00Z,1.60266041796804
9.05428238390425,5.76957750468496,0,0.22621288165176,1,2,4.45112557122226,0,0,2025-05-19T06:00:00Z,1.60266041796804
10.2834674294463,5.8044193360616,0,0.228389003089366,1,2,4.71980328539229,0,0,2025-05-19T07:00:00Z,1.61233870446155
12.2414812402056,6.70612806241632,0,0.230190163048505,1,2,4.98848099956232,0,0,2025-05-19T08:00:00Z,1.8628133506712
13.9082450843725,6.83391461588527,0,0.231680747716324,1,2,5.24307513808634,0,0,2025-05-19T09:00:00Z,1.89830961552369
15.1604245373387,7.87898899082444,0,0.232704262337696,1,2,5.44534314991697,0,0,2025-05-19T10:00:00Z,2.18860805300679
16.1680373696702,8.47587030280799,0,0.233297409135822,2,2,5.65263663666377,0,0,2025-05-19T11:00:00Z,2.35440841744666
16.9879012797621,9.35123475391713,0,0.233276520385815,2,2,5.8538004425183,0,0,2025-05-19T12:00:00Z,2.59756520942143
17.8142379550453,10.0700027554988,0,0.23234170835272,1,2,6.07435427435549,0,0,2025-05-19T13:00:00Z,2.79722298763856
18.4931224590808,10.2569962139742,0,0.230328628770032,1,2,6.30500495392621,0,0,2025-05-19T14:00:00Z,2.84916561499283
18.8122824909469,10.1639244989345,0,0.227208141798687,1,2,6.5688857947874,0,0,2025-05-19T15:00:00Z,2.82331236081513
18.7260433887685,10.2281272679556,0,0.222884374087994,0,2,6.85734205290144,0,0,2025-05-19T16:00:00Z,2.84114646332099
18.2776865980909,9.33944217714237,0,0.218401053268981,0,2,7.20314991262501,0,0,2025-05-19T17:00:00Z,2.59428949365066
17.3346011795515,8.67924329607259,0,0.214439059146256,0,2,7.54282809145632,0,0,2025-05-19T18:00:00Z,2.41090091557572
16.075769614653,8.07399688654069,0,0.211513651787111,0,2,7.8863330818461,0,0,2025-05-19T19:00:00Z,2.24277691292797
14.356465210963,7.17671649890038,0,0.210182894673726,0,2,8.26487047359238,0,0,2025-05-19T20:00:00Z,1.99353236080566
12.9150452121133,6.57147008936849,0,0.209898542813249,0,2,8.62512204533211,0,0,2025-05-19T21:00:00Z,1.82540835815791
12.0239234424342,5.91794092811138,0,0.210245538648499,0,2,8.96943947852851,0,0,2025-05-19T22:00:00Z,1.64387248003094
11.3886223613363,5.81889632771364,0,0.210922782303273,0,2,9.27924456309256,0,0,2025-05-19T23:00:00Z,1.61636009103157
10.8507318343144,5.75469355869254,0,0.211872370785646,0,2,9.50608799217604,0,0,2025-05-20T00:00:00Z,1.5985259885257
10.2877858929352,5.51374768389987,0,0.213122455725607,0,2,9.69945781963084,0,0,2025-05-20T01:00:00Z,1.53159657886107
9.77843982623569,5.08004071984796,0,0.214668252932693,0,2,9.82657786110027,0,0,2025-05-20T02:00:00Z,1.41112242217999
9.43953914756597,4.89304726137257,0.052326126693377,0.216567594513133,0,2,9.94436318945389,0,0,2025-05-20T03:00:00Z,1.35917979482571
9.16743648247023,4.89304726137257,0.0561529382518419,0.218646631320779,0,2,10.0164525636593,0.052326126693377,0,2025-05-20T04:00:00Z,1.35917979482571
9.1234908402074,4.72016852382315,0.0662497859853709,0.220900593248614,0,2,10.0847151263063,0.108479064945219,0,2025-05-20T05:00:00Z,1.31115792328421
